what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1766817843277
error,log,,,"Internal Error",1766817843282
error,log,,,"Internal Error",1766817843286
error,log,,,"Internal Error",1766817843290
error,log,,,"Internal Error",1766817843295
error,log,,,"Internal Error",1766817843299
error,log,,,"Internal Error",1766817843303
error,log,,,"Internal Error",1766817843306
error,log,,,"Internal Error",1766817843311
error,log,,,"Internal Error",1766817843314
error,log,,,"Internal Error",1766817843317
error,log,,,"Internal Error",1766817843320
error,log,,,"Internal Error",1766817843325
error,log,,,"Internal Error",1766817843327
error,log,,,"Internal Error",1766817843332
error,log,,,"Internal Error",1766817843335
error,log,,,"Internal Error",1766817843339
error,log,,,"Internal Error",1766817843342
error,log,,,"Internal Error",1766817843345
error,log,,,"Internal Error",1766817843349
error,log,,,"Internal Error",1766817843352
error,log,,,"Internal Error",1766817843356
error,log,,,"Internal Error",1766817843360
error,log,,,"Internal Error",1766817843363
error,log,,,"Internal Error",1766817843366
error,log,,,"Internal Error",1766817843370
error,log,,,"Internal Error",1766817843374
error,log,,,"Internal Error",1766817843377
error,log,,,"Internal Error",1766817843380
error,log,,,"Internal Error",1766817843383
error,log,,,"Internal Error",1766817843387
error,log,,,"Internal Error",1766817843392
error,log,,,"Internal Error",1766817843395
error,log,,,"Internal Error",1766817843398
error,log,,,"Internal Error",1766817843402
error,log,,,"Internal Error",1766817843405
error,log,,,"Internal Error",1766817843409
error,log,,,"Internal Error",1766817843411
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1766817844765
error,log,,,"Internal Error",1766817844814
error,log,,,"Internal Error",1766817844819
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766817851073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817851120
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1766817851338
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766817851345
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766817851347
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766817851348
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: settings.bsp\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1766817851638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817856400
error,log,,,"Internal Error",1766817858156
error,log,,,"Internal Error",1766817858158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817859676
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1766817861625
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1766817861632
error,log,,,"Unable to read BSP settings",1766817862599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766817904799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766818044394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1766818044414
error,log,,,"Internal Error",1766818047911
error,log,,,"Internal Error",1766818047913
error,log,,,"Internal Error",1766818047919
error,log,,,"Internal Error",1766818047927
error,log,,,"Internal Error",1766818047931
error,log,,,"Internal Error",1766818047937
error,log,,,"Internal Error",1766818047941
error,log,,,"Internal Error",1766818047945
error,log,,,"Internal Error",1766818047949
error,log,,,"Internal Error",1766818047949
error,log,,,"Internal Error",1766818047961
error,log,,,"Internal Error",1766818047966
error,log,,,"Internal Error",1766818047971
error,log,,,"Internal Error",1766818047977
error,log,,,"Internal Error",1766818047979
error,log,,,"Internal Error",1766818048035
error,log,,,"Internal Error",1766818048044
error,log,,,"Internal Error",1766818048113
error,log,,,"Internal Error",1766818048113
error,log,,,"Internal Error",1766818048113
error,log,,,"Internal Error",1766818048113
error,log,,,"Internal Error",1766818048130
error,log,,,"Internal Error",1766818048133
error,log,,,"Internal Error",1766818048135
error,log,,,"Internal Error",1766818048138
error,log,,,"Internal Error",1766818048141
error,log,,,"Internal Error",1766818048143
error,log,,,"Internal Error",1766818048146
error,log,,,"Internal Error",1766818048147
error,log,,,"Internal Error",1766818048147
error,log,,,"Internal Error",1766818048161
error,log,,,"Internal Error",1766818048164
error,log,,,"Internal Error",1766818048167
error,log,,,"Internal Error",1766818048169
error,log,,,"Internal Error",1766818048172
error,log,,,"Internal Error",1766818048175
error,log,,,"Internal Error",1766818048179
error,log,,,"Internal Error",1766818048180
error,log,,,"Internal Error",1766818048180
error,log,,,"Internal Error",1766818048191
error,log,,,"Internal Error",1766818048198
error,log,,,"Internal Error",1766818048202
error,log,,,"Internal Error",1766818048204
error,log,,,"Internal Error",1766818048207
error,log,,,"Internal Error",1766818048210
error,log,,,"Internal Error",1766818048213
error,log,,,"Internal Error",1766818048213
error,log,,,"Internal Error",1766818048213
error,log,,,"Internal Error",1766818048213
error,log,,,"Internal Error",1766818048213
error,log,,,"Internal Error",1766818048229
error,log,,,"Internal Error",1766818048233
error,log,,,"Internal Error",1766818048237
error,log,,,"Internal Error",1766818048240
error,log,,,"Internal Error",1766818048243
error,log,,,"Internal Error",1766818048245
error,log,,,"Internal Error",1766818048245
error,log,,,"Internal Error",1766818048245
error,log,,,"Internal Error",1766818048245
error,log,,,"Internal Error",1766818048245
