what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1766654570972
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1766654570972
os,sysinfo,,,"win32",1766654570974
arch,sysinfo,,,"x86",1766654570974
ws,sysinfo,,,"win32",1766654570974
locale,sysinfo,,,"zh_CN",1766654570974
processors,sysinfo,,,"8",1766654570974
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1766654570974
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1766654570974
java.specification.name,sysinfo,,,"Java Platform API Specification",1766654570974
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766654570974
java.specification.version,sysinfo,,,"1.6",1766654570974
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1766654570974
java.version,sysinfo,,,"1.6.0_23",1766654570974
java.vm.info,sysinfo,,,"mixed mode",1766654570974
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1766654570974
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1766654570974
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766654570974
java.vm.specification.version,sysinfo,,,"1.0",1766654570974
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1766654570974
java.vm.version,sysinfo,,,"19.0-b09",1766654570974
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1766654571172
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1766654571428
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766654580432
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1766654580821
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1766654580840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654584020
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1766654586828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654587070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654596631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654599051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654601920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1766654603489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766654604118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654604488
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766654604538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654605521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654638031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654638051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654638940
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766654641917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654648425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654652549
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1766654653174
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766654653174
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766654653174
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766654653181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654653207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654656865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654659721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654661279
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766654661298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654662235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654682941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654685174
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766654686809
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766654686809
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1766654686813
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766654686813
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1766654688064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654703201
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766654703228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654704292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654725989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654728132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766654746174
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766654746193
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766654750467
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766654750808
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766654750813
