what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766815838555
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766815839345
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766815861849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766816038869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766816040891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766816086319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817729156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817732157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817734387
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766817735459
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code -1.",1766817738005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817738129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817740865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817743511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817744363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817744630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817751852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817754458
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1766817760509
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1766817760593
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1766817761552
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1766817763899
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1766817763910
error,log,,,"Unable to read BSP settings",1766817764013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766817778200
