what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752489786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752491253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752491776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752496603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752496712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752497777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752498640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752500384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752501451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752503455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752504910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752505048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752508591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752513279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752516635
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766752517829
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766752517837
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1766752522335
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1766752522354
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766752523002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752534448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1766752534497
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766752535782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752537742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752540821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1766752540859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752544667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752544799
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766752544831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752546446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752546550
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766752549716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752551342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752554575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752559036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752560591
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1766752570457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752570857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752768777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752769245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752772557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752772945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752773078
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766752781019
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1766752781130
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766752781356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752782713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752809190
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766752814552
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1766752835877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752836367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766752893932
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766752893990
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766752928563
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766752929762
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766752929776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766753563093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766753747014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766753773248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766758613271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766758616308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766758618994
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1766758619808
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766758621051
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1766758621687
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1766758621690
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1766758621690
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1766758622692
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1766758622692
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1766758622692
