what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937696291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937702773
started,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1766937706509
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766937706583
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766937706624
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766937706625
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766937706625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937706847
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1766937735130
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1766937735146
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1766937735295
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1766937735820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937739684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937742558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937760425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766937762318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937762608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937763688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937764269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937767662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937770031
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1766937780735
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1766937780758
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1766937781352
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1766937782975
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1766937782978
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766937783079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766937795392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1766937795408
