what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717177480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717178031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717178487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717222815
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1766717225164
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766717225345
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766717225345
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1766717225345
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766717225350
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1766717226506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717226638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717233020
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766717233037
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766717237369
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766717237697
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766717237708
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766717237708
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766717237708
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766717237708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717358226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717705237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766717708902
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766717710933
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766717711034
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766717722008
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766717722008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766717726608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717729513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717738154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717739274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717796649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717797481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717857320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717860210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717863302
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766717863318
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766717867528
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766717867908
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766717873648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717957770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717959366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766717960072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718210501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718244530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718399286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766718400097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766718402039
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766718404005
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766718404106
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766718405559
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766718405559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718409399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718413848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718421097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718424838
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766718424852
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766718426758
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718428846
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766718429319
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718435036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718517391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718519855
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766718519874
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766718524204
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718529903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718539606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718701858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718704066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718817489
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766718818371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766718819996
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766718821616
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766718821727
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766718823075
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766718823075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718825972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718830324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718835745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718837842
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1766718837854
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718841776
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766718842256
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718847900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719157556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719196835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719198105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719307151
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766719308692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766719311122
